nodes, avg h(empirical), exp h(analytic), diff=(av - ex)*n!, h counts
0, 0, 0, 0, "{0: 1}"
1, 1, 1, 0, "{1: 1}"
2, 2, 2, 0, "{2: 2}"
3, 8/3, 8/3, 0, "{2: 2, 3: 4}"
4, 10/3, 10/3, 0, "{3: 16, 4: 8}"
5, 19/5, 19/5, 0, "{3: 40, 4: 64, 5: 16}"
6, 64/15, 64/15, 0, "{3: 80, 4: 400, 5: 208, 6: 32}"
7, 1471/315, 487/105, 160, "{3: 80, 4: 2240, 5: 2048, 6: 608, 7: 64}"
8, 3161/630, 526/105, 320, "{8: 128, 4: 11360, 5: 18816, 6: 8352, 7: 1664}"
9, 3028/567, 1003/189, 12160, "{4: 55040, 5: 168768, 6: 104448, 7: 30016, 8: 4352, 9: 256}"
10, 6397/1134, 5296/945, 133760, "{4: 253440, 5: 1508032, 6: 1277568, 7: 479040, 8: 99200, 9: 11008, 10: 512}"
